pl_name,ra,dec,sy_dist
11 Com b,185.1787793,17.7932516,93.1846
11 UMi b,229.2745954,71.8239428,125.321
14 And b,352.82415,39.2358367,75.4392
14 Her b,242.6021014,43.8163621,17.9323
16 Cyg B b,295.4656422,50.5168243,21.1397
17 Sco b,243.4620874,-11.8377905,124.953
18 Del b,314.6078375,10.8391378,76.222
1RXS J160929.1-210524 b,242.3762343,-21.0831403,139.135
24 Boo b,217.1555242,49.8446488,95.9863
24 Sex b,155.8684866,-0.9023998,72.0691
24 Sex c,155.8684866,-0.9023998,72.0691
2M0437 b,69.3405531,26.8502997,128.484
2MASS J01033563-5515561 AB b,15.8992489,-55.2658291,
2MASS J01225093-2439505 b,20.7128012,-24.6646128,33.8281
2MASS J02192210-3925225 b,34.8427046,-39.4230767,
2MASS J0249-0557 c,42.4851627,-5.9599921,66.0613
2MASS J03590986+2009361 b,59.7911026,20.1599759,117.435
2MASS J04414489+2301513 b,70.4371079,23.0308544,
2MASS J11011926-7732383 b,165.3295388,-77.5440912,
2MASS J11550485-7919108 b,178.7691634,-79.3197558,100.862
2MASS J12073346-3932539 b,181.8890906,-39.5484399,64.308
2MASS J19383260+4603591 b,294.6359173,46.0664076,396.332
2MASS J21252752-8138278 b,321.3662989,-81.6414894,34.1154
2MASS J22362452+4751425 b,339.1025931,47.861683,69.5737
30 Ari B b,39.2412736,24.6480103,44.657
4 UMa b,130.0528099,64.3280504,73.4603
42 Dra b,276.4975053,65.5633652,90.6545
47 UMa b,164.8647611,40.4304931,13.7967
47 UMa c,164.8647611,40.4304931,13.7967
47 UMa d,164.8647611,40.4304931,13.7967
51 Eri b,69.4007424,-2.4738245,29.7575
51 Peg b,344.3675399,20.7690958,15.4614
55 Cnc b,133.1468373,28.3298154,12.5855
55 Cnc c,133.1468373,28.3298154,12.5855
55 Cnc d,133.1468373,28.3298154,12.5855
55 Cnc e,133.1468373,28.3298154,12.5855
55 Cnc f,133.1468373,28.3298154,12.5855
6 Lyn b,97.6960311,58.1611753,54.6599
61 Vir b,199.596455,-18.3157745,8.50332
61 Vir c,199.596455,-18.3157745,8.50332
61 Vir d,199.596455,-18.3157745,8.50332
7 CMa b,99.171276,-19.2561808,19.8101
7 CMa c,99.171276,-19.2561808,19.8101
70 Vir b,202.1064898,13.7763085,17.9011
